question_type,question_text,answer_text,difficulty,loss
open question,"Design a data structure with amortized complexities: Insert(x): O(1), DeleteMin(): O(log n), DecreaseKey(x, Δ): O(1), Print100(): O(1).","Use Fibonacci heap + sorted array for 100 smallest elements, updated lazily.",0.455831815,4.9140625
open question,"Give an example of a function f(n) such that f(n) = O(n^2), f(n) = Ω(n), f(n) ≠ o(n^2), and f(n) ≠ ω(n).","f(n) = n if n is odd, f(n) = n^2 if n is even. Satisfies all conditions.",0.340499676,1.990234375
open question,"Design data structure to maintain course grades with Insert, DeleteGrade, DeleteCourse, and CourseSelect(i).",Use AVL trees for course and score tracking. Select by average using augmented tree.,0.341109151,5.4375
Multiple Choice,"Inserting sorted vs reverse-sorted values into a (2,4) B-tree — what changes?",D,0.506858047,4.05859375
open question,"Design a data structure supporting INSERT(x,y), DELETE(p), MIN(x), MOVE_ALL(x1,x2), LAST() in amortized O(log n).","Use array of Fibonacci heaps by x-value, with separate min and timestamp heaps.",0.311643496,6.36328125
open question,Extend Union-Find with Print(x) that prints all elements in x's set in time proportional to its size.,Maintain circular linked list for each set. Print walks this list. No impact on amortized Find/Union time.,0.526450087,5.94921875
open question,"Sort array by frequency assuming all frequencies are powers of 2, in linear time.","Find most frequent in linear time, recurse on remainder. Recurrence: T(n) = T(n/2) + O(n) = O(n)",0.649839579,3.509765625
open question,Solve the recurrence T(n) = 3T(n/3) + n log n asymptotically.,T(n) = Θ(n log² n),0.658004879,3.32421875
Multiple Choice,"In an AVL tree with n nodes, what is the tightest upper bound on the difference in size between the left and right subtrees of the root?",C,0.674698338,4.53125
open question,"In a B-tree of minimal degree d, a key is deleted and tree height decreases. Determine d and how much the height decreased.","d = 2, and the height decreased by 1 (root with one key was deleted).",0.428216404,2.494140625
open question,"Design a randomized algorithm to find 4 elements in A that sum to 0, in expected O(n^2) time.","Use hash table to map pair sums to index pairs, then check complementary sums. Total expected time: O(n^2).",0.752596598,3.509765625
open question,Find all elements in an array of size n that appear at least n/7 times in O(n) time.,"Use 7 Select calls for i=n/7, 2n/7,... and count candidates. Total time: O(n)",0.437061201,4.4765625
open question,"Given f1(n) = O(g1(n)) and f2(n) = O(g2(n)), is f1(f2(n)) = O(g1(g2(n)))? Prove or disprove.",Disproved with counterexample: f1(f2(n)) may grow faster than g1(g2(n)).,0.728344449,3.099609375
Multiple Choice,"In 2-level hashing, what's the tightest bound on the size of the largest secondary table?",C,0.414985252,5.65625
open question,"Design data structure for lines y = ax + b supporting insert and search if they intersect on x ∈ [0,1], in O(log n).","Use AVL tree keyed by y at x=0, compare adjacent lines at x=1 for intersection check before insert.",0.839360055,4.6875
open question,"Given T(n) = T(n/2) + f(n), T(1)=2, is there an f(n) such that T(n) = Θ(log n)?","Yes. For example, f(n) = log n.",1.0,3.03125
open question,Find the minimal number of insertions to a B-tree with degree d to split the root of a tree with n nodes and height h.,Number of insertions: d^{h+1}. Each level needs d insertions to propagate split upward.,0.630192748,4.52734375
open question,"Given matrix with sorted rows, print all elements in sorted order using O(m) extra space and O(n log m) time.",Use a min-heap of column heads. Repeatedly extract min and insert next in row. Total time O(n log m).,0.177457061,4.2265625
open question,"Design data structure with amortized complexities: Insert(x): O(1), DeleteMin(): O(log n), DecreaseKey: O(1), Print100: O(1).",Use Fibonacci heap + sorted array for smallest 100. Rebuild when needed.,0.510767206,5.48046875
open question,Explain why Pr[i compares with j | k is chosen pivot] = 2 / (j - i + 1) in random quicksort.,Because the probability that either i or j is the first to be chosen as pivot among i to j is 2/(j-i+1).,0.389867217,2.685546875
open question,"Design a data structure managing axis-aligned rectangles with Add(a,b,c,d), Split(p,z), Left(z), Max_area() in required complexities.","Use AVL tree keyed by (a,b,c,d), with max_area field at each node. All ops O(log n), Max_area in O(1).",0.184065608,3.88671875
