question_type,question_text,answer_text,difficulty,loss
open question,"Design a data structure managing axis-aligned rectangles with Add(a,b,c,d), Split(p,z), Left(z), Max_area() in required complexities.","Use AVL tree keyed by (a,b,c,d), with max_area field at each node. All ops O(log n), Max_area in O(1).",0.184065608,5.139746189117432
Multiple Choice,"In 2-level hashing, what's the tightest bound on the size of the largest secondary table?",C,0.414985252,3.5887937545776367
open question,"Find a recurrence for the minimum number of nodes in an AVL-ish tree of height h, where BF ≤ 2.",|T_h| = 1 + |T_{h-1}| + |T_{h-3}|,0.414985252,3.9071197509765625
open question,"Can you sort an array of n elements, each at most log n indices from its final position, in o(n log n) time?",Yes. Use a data structure like a finger tree or min-heap to sort in o(n log n) expected time.,0.414985252,5.168182373046875
open question,"Analyze QuickSelect running time when pivot is √m-th element in each step, for fixed-rank selection.",T(n) = T(√n) + Θ(n) ⇒ T(n) = Θ(n),0.414985252,2.2528610229492188
open question,Design algorithm (expected linear time) and worst-case linear time algorithm to detect: ∃ a1 ≠ a2 such that a1/a2 = n2/n1.,Use hashing: a1 * n1 = a2 * n2. Store ai * ni in hash. Use counting sort and scanning for deterministic version.,0.444890323,4.710044860839844
open question,"Design data structure supporting Init(a1...an), SetValue(i,x), GetPartialSum(i) in O(log n).",Augmented balanced BST with sum field. Init via postorder traversal. SetValue and GetPartialSum follow search path.,0.542021862,6.551257133483887
open question,Add operation SearchPartialSum(x): return i such that prefix sum equals x. Must be O(log n).,Traverse BST by comparing cumulative left sum + node value to x. Standard balanced BST logic applies.,0.712085976,6.34233283996582
open question,"Add GetQ(i,b) that returns ∑(ak + b)^2 for k = 1..i in O(log n).","Keep two BSTs tracking sum and square sum. Q(i,b) = sum_sq + 2b*sum + b^2*i",0.293545107,5.297616958618164
open question,"Design data structure with amortized complexities: Insert(x): O(1), DeleteMin(): O(log n), DecreaseKey: O(1), Print100: O(1).",Use Fibonacci heap + sorted array for smallest 100. Rebuild when needed.,0.510767206,5.498894214630127
open question,"Add operation DecreaseKey(x, y) to above structure in amortized O(log k).","Handle in-place if in heap. If y < max(T), move max(T) to heap and y to T. Total cost O(log k) amortized.",0.855724494,4.777161121368408
open question,Solve the recurrence T(n) = 3T(n/3) + n log n asymptotically.,T(n) = Θ(n log² n),0.658004879,3.9376676082611084
open question,Analyze runtime for selection algorithm using groups of 7 and using the 2nd smallest in each group as pivot.,T(n) = T(n/7) + T(6n/7) + Θ(n) = Θ(n log n),0.218642185,3.13395094871521
Multiple Choice,"Inserting sorted vs reverse-sorted values into a (2,4) B-tree — what changes?",D,0.506858047,3.734074115753174
Multiple Choice,How many probe sequences are possible for each open addressing strategy?,D,0.694981316,3.734074115753174
open question,Find all elements in an array of size n that appear at least n/7 times in O(n) time.,"Use 7 Select calls for i=n/7, 2n/7,... and count candidates. Total time: O(n)",0.437061201,5.852131366729736
open question,"Sort array by frequency assuming all frequencies are powers of 2, in linear time.","Find most frequent in linear time, recurse on remainder. Recurrence: T(n) = T(n/2) + O(n) = O(n)",0.649839579,3.992138624191284
open question,"Design data structure to maintain course grades with Insert, DeleteGrade, DeleteCourse, and CourseSelect(i).",Use AVL trees for course and score tracking. Select by average using augmented tree.,0.341109151,6.512490749359131
open question,"Support Insert, Delete(x), DecreaseKey(x, k), and Min in a structure with amortized complexities: Insert: O(log n), others: O(1).",Use Fibonacci heap. Charge Insert with O(log n) to cover future operations.,0.691059864,6.041163444519043
open question,"Make all operations from part A worst-case O(1), except Insert (amortized O(log n)).",Use lazy updates: defer Delete and DecreaseKey to next Insert/Min. Use a log-sized list to track updates.,0.986340238,6.150686740875244
