question_type,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,topics_covered
Multiple Choice,na,"
Given two sorted arrays of size \( n \). No value repeats itself. We want to find their common median (i.e., an element with exactly \( n \) elements smaller than it in the combined arrays).

This can be done in W.C. time (best possible):

A. \(\Theta(1)\)

B. \(\Theta(\log(n))\)

C. \(\Theta(n)\)

D. \(\Theta(n \log(n))\)

E. \(\Theta(n^2)\)
",B,na,"Complexity analysis,   Selection and median-of-median algorithm"
Multiple choice with explanations,4,"\subsection*{A Ternary Tree}
A ternary tree is a tree in which each node has at most three children. A complete and balanced ternary tree, containing $N$ nodes, is given. The depth of a node is the number of edges between the node and the root (the depth of the root is 0). The height of a node is the number of edges between the node and the nearest leaf (the height of a leaf is 0). Let $D$ be the sum of the depths of all the nodes (including leaves), then:
\begin{enumerate}
    \item $D = \theta(N)$
    \item $D = \theta(N\log(N))$
    \item $D = \theta(N^2)$
    \item $D = \theta(N^2\log(N))$
    \item None of the above answers is correct.
\end{enumerate}",B,"
b. 
The depth of all the nodes is \(O(\log n)\). Therefore, the sum is \(O(n \log n)\).
On the other hand, the depth of all the leaves is \(\Omega(\log n)\) and there are \(\Omega(n)\) leaves, therefore the sum is also \(\Omega(n \log n)\).
","Binary search trees,   OTHER"
Multiple choice with explanations,4,"
A ternary tree is a tree in which each node has at most three children.
Given a full and balanced ternary tree containing \( N \) nodes.
The depth of a node is the number of edges between the root and the node (the depth of the root is 0).
The height of a node is the number of edges between the node and the closest leaf (the height of a leaf is 0). Let \( H \) be the sum of the heights of all nodes (including leaves), then:
a. \( H = \theta(N) \)
b. \( H = \theta(N \log(N)) \)
c. \( H = \theta(N^2) \)
d. \( H = \theta(N^2 \log(N)) \)
e. None of the above answers is correct.
",A,"
The calculation is similar to the calculation of the running time of Build-Heap. We obtain a geometric series of the form \(\Theta(n) \times \sum_{i} \left(\frac{i}{3^i}\right)\).
","Binary search trees,   OTHER"
Multiple choice with explanations,7,"
$T(n) = T(n/4) + T(3n/4) + 1$  
A. $T(n) = \theta(n)$  
B. $T(n) = \theta(n^{\log_3{4}})$  
C. $T(n) = \theta(n\log{n})$  
D. $T(n) = \theta(n^{0.75})$  
E. $T(n) = \theta(\log^2{n})$  
F. $T(n) = \theta(\log^{0.75}{n})$
",A,"
Part A.
",Complexity analysis
Multiple choice with explanations,7,"
If \(\log(f(n)) = \theta(\log(g(n)))\) then necessarily:
a. \(f(n) = \theta(g(n + 1))\)
b. \(f(n) = \theta(g(n/2))\) 
c. \(f(n) = \theta(g(n^{0.5}))\)
d. a + b
e. a + b + c
f. None of the above
",F,"
\subsection{Counterexample}
\( f(n) = n! \), \( g(n) = n^n \)
",Complexity analysis
Multiple choice with explanations,7,"
Given a binary search tree that supports order statistic operations. The height of the tree in edges is \( h \) and it contains \( n \) elements. An in-order traversal is performed on the tree, but instead of printing the keys, the value of the Size field is printed.
The maximum value will necessarily be printed in the location:
\begin{enumerate}
    \item First
    \item Last
    \item One of the first \( h \) places.
    \item One of the last \( h \) places.
    \item \( n/2 \)
    \item None of the above.
\end{enumerate}
",F,"
6. The maximum Size value belongs to the root. The root can be of any statistical order, therefore it can appear anywhere in the Inorder printout.
",Binary search trees
Multiple choice with explanations,7,"\noindent
Modify the QuickSort algorithm as follows: the pivot element will be selected by choosing the $n/4$ order statistic, using the Select function. The running time of the new algorithm will be:
\begin{itemize}
    \item[(a)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n)$
    \item[(b)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n^2)$ 
    \item[(c)] W.C.- $\Theta(n^2)$, Expected - $\Theta(n\log(n))$
    \item[(d)] W.C.- $\Theta(n\log(n))$, Expected - $\Theta(n\log(n))$
    \item[(e)] W.C.- $\Theta(n^{0.25}\log(n))$, Expected - $\Theta(n^{0.25}\log(n))$ 
    \item[(f)] W.C.- $\Theta(n^2\log(n))$, Expected - $\Theta(n^2\log(n))$
\end{itemize}",D,"The correct answer is D.\\

The runtime will be the same for the worst case and the average case – it will not actually be affected by the input or random choices.
The recurrence formula: \( T(n) = T\left(\frac{3n}{4}\right) + T\left(\frac{n}{4}\right) + \Theta(n) \) (rounded to integers).",Quick-sort
Multiple choice with explanations,3,"
The same data as in the previous question. What is the W.C. runtime of the new program? 

a. \(\theta(\log(n))\)

b. \(\theta(n)\)

c. \(\theta(n\log(n))\)

d. \(\theta(n^2)\)

e. None of the above
",B,"
b. Proof by induction.
","Complexity analysis,   Recursive algorithms"
Multiple choice with explanations,8,"
Solve the following recurrence formula:
\[ T(n) = T(c \cdot n) + T((1-c) \cdot n) + n \]
where \( c \) is a constant, \( 0 < c < 1 \).

\begin{enumerate}
    \item \( T(n) = \theta(n) \)
    \item \( T(n) = \theta(n \log n) \)
    \item \( T(n) = \theta(n^{1.5}) \)
    \item \( T(n) = \theta(n^2) \)
\end{enumerate}
",B,\noindent Proof by induction or by recursion tree.,Complexity analysis
Multiple choice with explanations,8,"What is the asymptotic relationship between the following functions:
If there are multiple correct answers, choose the tightest one.
\( f(n) = \frac{n}{\log(n)}, \quad g(n) = \frac{n^2}{(\log(n))^{2004}} \)
\begin{enumerate}
    \item \( f(n) = O(g(n)) \)
    \item \( f(n) = \Omega(g(n)) \)
    \item \( f(n) = \Theta(g(n)) \)
    \item \( f(n) = o(g(n)) \)
    \item \( f(n) = \omega(g(n)) \)
\end{enumerate}",D,"
For all \( \epsilon > 0 \), it holds that \(\log n = o(n)\).
",Complexity analysis
Multiple choice with explanations,9,"We modify the MergeSort algorithm so that if the array is sorted, the algorithm returns the array and does not make two additional recursive calls. Suppose we run the new algorithm on an array where each element appears exactly \( \frac{n}{\log n} \) times (therefore it contains \(\log n\) different elements). The runtime of the algorithm in the worst case (WC) is:
a. \(\Theta(n)\)  
b. \(\Theta(n \log \log n)\)  
c. \(\Theta(n \log n)\)  
d. \(\Theta(n^2)\)",C,"\noindent For the following input, the running time will be like in the original MergeSort algorithm: An array composed of $n/\log n$ parts, each part with $\log n$ values in descending order.","Complexity analysis,   Lower bound for comparison based sorting"
Multiple choice with explanations,9,"Given an Order-Statistics Tree as defined in class, with the additional field size (i.e., the size of a node x is the number of nodes, including x, in the subtree for which x is the root). In how much time can we print the k nodes in the tree with the largest size field? It is allowed to assume that $k < n^{0.5}$.
A. \(\Theta(n)\).
B. \(\Theta(n \log n)\).
C. \(\Theta(k \log n)\).
D. \(\Theta(k \log k)\).
E. \(\Theta(k)\).",D,"
Similar to printing the $k$ largest elements from a max heap, we will use an auxiliary heap, which will contain the candidates for printing. At each step, we will print the maximum of the auxiliary heap, remove it from the auxiliary heap, and insert its two children from the tree into the auxiliary heap.
",OTHER
Multiple choice with explanations,8,"\begin{quote}
We want a data structure that supports the operations Insert, Delete, and Find.

Two data structures are proposed:
The first supports all operations in W.C. time \( O(n) \) and in Amortized time per operation \( O(1) \).
The second supports all operations in W.C. time \( O(\log n) \) and in Amortized time per operation \( O(\log N) \).

We remind that \( n \) describes the number of elements in the structure, and \( N \) describes the number of operations performed on the structure.

The structure is needed for an algorithm that performs \( N \) operations on the structure. The structure is initialized to an empty state. At the beginning of the algorithm's run, \( N/10 \) insert operations are performed on it.

Which of the two structures is preferable in order to achieve the lowest W.C. time for the algorithm?
\begin{itemize}
    \item [a.] The first.
    \item [b.] The second.
    \item [c.] The answer for \( n = N/2 \) is different from the answer for \( n = N/4 \).
    \item [d.] None of the above answers.
\end{itemize}
\end{quote}",A,The first requires total time $O(N)$. The second requires total time $O(N \log N)$.,Amortized analysis
Multiple choice with explanations,9,"
We are interested in the following problem:
Input: An array of size $n$.
Question: Are there 2 values in the array such that the number of their occurrences together is exactly 2004?

We want an algorithm that will solve the problem in the shortest expected time.
It can be done in expected time:
A. $\Theta(\log(n))$
B. $\Theta(n)$ 
C. $\Theta(n\log(n))$
D. $\Theta(n^2)$
E. None of the above
",B,"\noindent
Insert all elements into a Hash table of size $n$ (collision resolution using linked lists) in expected time $O(n)$. Duplicate values will be stored in the same list element by a counter. \\
The counters are integers between $1$ and $n$, so they can be sorted in an array using counting sort (CountSort) in time $O(n)$. Now, with the help of two indices, one can traverse the array from the beginning and the end, and check if there are two elements in the array whose sum is $2004$. \\",Complexity analysis
Multiple choice with explanations,8,"The recurrence formula for the running time of the Select algorithm (finding any order statistic in an unsorted array) is: \( T(n) \leq T(n/5) + T(7n/10 + c) + O(n) \) (where \( c \) is some constant).

We change the Select operation so that in the first step the division is into triplets instead of quintets. The updated recurrence formula will be:
\begin{enumerate}
    \item \( T(n) \leq T(n/3) + T(n/3 + c') + O(n) \) (where \( c' \) is some constant).
    \item \( T(n) \leq T(n/3) + T(2n/3 + c') + O(n) \) (where \( c' \) is some constant).
    \item \( T(n) \leq T(2n/3) + T(2n/3 + c') + O(n) \) (where \( c' \) is some constant).
    \item \( T(n) \leq T(n/3) + T(5n/6 + c') + O(n) \) (where \( c' \) is some constant).
    \item \( T(n) \leq T(n/3) + T(7n/6 + c') + O(n) \) (where \( c' \) is some constant).
    \item \( T(n) \leq T(n/3) + T(7n/10 + c') + O(n) \) (where \( c' \) is some constant).
\end{enumerate}",B,"
Finding the median of medians of the triplets: \( EMBED \ \text{Equation.DSMT4} \). It is guaranteed that at least (almost) \( n/3 \) of the elements are eliminated for the next step.
",Selection and median-of-median algorithm
Multiple choice with explanations,9,"
What is the height of the decision tree of the HeapSort sorting algorithm on an array of size \( n \)?
A. \( \theta(n) \)
B. \( \theta(n \log n) \)
C. \( \theta(n^2) \)
D. \( \theta(n!) \)
E. \( \theta((n!) \log n) \)
F. The HeapSort sorting algorithm does not fit the comparison model, thus the question is meaningless.
",B,"
b. Because this is the worst case complexity of the number of comparisons in this algorithm.
","Complexity analysis,   Lower bound for comparison based sorting"
Multiple choice with explanations,8,"
In a max-heap, the median is necessarily located:

A. at the root.

B. at a depth of at most $\frac{\log(n)}{2} - 1$.

C. at a depth of at most $\frac{\log(n)}{2} + 1$.

D. in the two lowest layers.

E. none of the above.
",E,"\begin{itemize}
    \item[(e)] The median can be a direct child of the root (for example, if every right subtree is larger than every left subtree), and it can also be in one of the leaves (if the half smallest values are in the leaves).
\end{itemize}",Binary heaps
Multiple choice with explanations,8,"\noindent Let \( T \) be an AVL tree with \( n \) nodes. The height of a node is defined as the length of the longest path (in edges) from it to a leaf. For example, the height of a leaf is 0. Let \( m \) be the node that contains the minimum value in the tree. Then the height of \( m \) in \( T \) is: 

\begin{enumerate}
    \item necessarily \( 0 \).
    \item less than or equal to \( 1 \).
    \item exactly \( 1 \).
    \item less than or equal to \( 2 \).
    \item possibly \(\Theta(\log(n))\).
    \item possibly \(\Theta(n)\).
\end{enumerate}",B,"
b. The minimum has no left child. Therefore, it is a leaf or a node with a right child that must, according to the AVL definition, be a leaf.
","Balanced BST (AVL,   B)"
Multiple choice with explanations,9,"\noindent Given an array $A$ containing $n$ distinct (unsorted) elements. A min-heap $H$ is given, containing the same elements. We want to take the smallest $n^{0.5}$ elements and sort them in the lowest worst-case time. Let $a(n)$ be the cost of performing the operation (with the best algorithm you know) on $A$ and let $h(n)$ be the cost of performing the operation (with the best algorithm you know) on $H$. Then:
\begin{enumerate}
    \item The cost of execution for both algorithms is identical.
    \item The cost of execution for both algorithms is asymptotically the same, but the constant factor for $a(n)$ is lower.
    \item The cost of execution for both algorithms is asymptotically the same, but the constant factor for $h(n)$ is lower.
    \item $a(n) = o(h(n))$.
    \item $h(n) = o(a(n))$.
\end{enumerate}",5,"
5. Perform ORDER STAT on \( A \) and then sort. Cost: \(\Theta(A \log A)\). Perform \(\Theta(H \cdot \log H)\) DELETEMIN on \( H \). Cost: \(\Theta(H \cdot \log H)\).
","Arrays and linked lists,   Binary heaps"
Multiple Choice,8,"\begin{flushleft}
Given an array representing a maximum heap of size \( n \). QuickSort is applied to it. The pivot element at each stage is chosen to be the first in the subarray on which the algorithm is applied. The worst-case runtime is:
\begin{enumerate}
    \item \(\Theta(n)\)
    \item \(\Theta(n \log n)\)
    \item \(\Theta(n^2)\)
    \item \(\Theta(n^2 \log n)\)
    \item \(\Theta(n^3)\)
\end{enumerate}
\end{flushleft}",3,na,"I,   Binary heaps"
Multiple Choice,7,"
Let \( T(n) \) be a function satisfying:
\[ T(n) = T(c \cdot n) + T(d \cdot n) + n \]
where \( c > 0, d > 0 \), and \( c + d < 1 \).

\( T(n) = ? \)

A. \( \theta(\log(n)) \).

B. \( \theta(\max\{n^c, n^d\}) \).

C. \( \theta(n) \).

D. \( \theta(n\log(n)) \).

E. \( \theta(n^{1/(c+d)}) \).

F. None of the above.
",3,na,Complexity analysis
Multiple Choice,7,"
Given a binary search tree (not necessarily balanced) of size \( n \) and height \( h \), where each node has a field \( Su \) pointing to the successor, but this field is incorrect. We want to fix the tree, i.e., correct the \( Su \) field of all the nodes in minimal worst-case time. It can be done in:

A. \( \Theta(\log(n)) \) \\
B. \( \Theta(n) \) \\
C. \( \Theta(n\log(n)) \) \\
D. \( \Theta(n^2) \) \\
E. \( \Theta(nh^2) \) \\
F. None of the above
",2,na,Binary search trees
Multiple Choice,7,"
Claim: If \( f(n) = O(g(n)) \) then \( \sqrt{f(n)} = O(\sqrt{g(n)}) \).

a. The claim is always false

b. The claim is always true

c. The claim is sometimes true and sometimes false
",2,na,Complexity analysis
Multiple Choice,7,"
Claim: If we traverse a minimum heap (Min-Heap) in which all elements are distinct using LRD traversal (post-order), we will obtain a decreasing sequence of heap elements.

A. The claim is always false.

B. The claim is always true.

C. The claim is sometimes true and sometimes false.
",3,na,Binary heaps
Multiple choice with explanations,8,"
The recurrence formula \( T(n) = T(n/2) + T(n/2) + \theta(n) \) describes the W.C. running time of the following algorithms:
Note: For a specific algorithm, it is not enough that the complexity matches the solution of the recurrence formula. The recurrence formula must also fit the operation of the algorithm.
\begin{enumerate}
    \item QuickSort
    \item QuickSort where the pivot element is chosen to be the median using Select.
    \item Sorting by insertion into an AVL search tree and scanning the tree at the end.
    \item MergeSort
    \item b + d
    \item b + c + d
\end{enumerate}
",E,"
5. 
The recurrence formula describes both MergeSort and QuickSort, provided that the pivot element is chosen to be the median in linear time (for example, using Select). In standard QuickSort, the partitioning can be unbalanced, so the above recurrence formula is not suitable. Sorting using an AVL tree indeed takes \(O(n \log n)\), which is the solution of \(T\), but \(T\) does not fit to describe the runtime (for example, because it is not a recursive algorithm).
","Balanced BST (AVL,   B),   Quick-sort"
Multiple choice with explanations,8,"
Given a 2-3 search tree where the root has exactly two children: left and middle. Let \( X \) denote the number of nodes in the middle subtree and \( Y \) denote the number of nodes in the left subtree. Which of the following is necessarily true? (If more than one answer is correct, choose the tightest one).

\begin{itemize}
    \item[A.] \( X = Y \)
    \item[B.] \( X \leq 1.5Y \)
    \item[C.] \( X \leq 2Y \)
    \item[D.] \( X \leq 6Y \)
    \item[E.] \( X \leq 2006Y \)
    \item[F.] None of the above.
\end{itemize}
",F,"\textbf{6.}\\
It is possible for one subtree of each node to have exactly two children and the other subtree to have exactly three children. Therefore, if the height of the tree is $h$, then in one subtree the number of nodes is $2^h - 1$ and in the other $3^h - 1$. That is, in the first there are $2^h - 1$ nodes, and in the second more than $2^h - 1$ nodes.

","Balanced BST (AVL,   B)"
Multiple choice with explanations,8,"
Given a binary search tree (not necessarily balanced) with \( n \) nodes, where each node has two additional fields: Pred, Suc, which point to the predecessor and successor of the node. We want to implement the Delete operation on this tree in the best possible W.C. time, such that after the deletion all the fields in the tree are correct. The delete operation receives a pointer to the element intended for deletion. It is allowed to assume that all the regular fields exist, such as \texttt{Parent[x]}. The resulting time is:
\begin{enumerate}
    \item \(\Theta(1)\)
    \item \(\Theta(\log(n))\) independent of the height of the tree.
    \item \(\Theta(n)\) independent of the height of the tree.
    \item \(\Theta(h)\) where \( h \) is the height of the tree.
    \item \(\Theta(n\log(n))\)
    \item It is impossible to perform deletion on such a tree, because it is impossible to determine with certainty the new value for the Pred and Suc fields.
\end{enumerate}
",A,"
Let \( x \) be the deleted element. Remember its predecessor and successor in order to update their mutual pointers after deleting \( x \). If \( x \) has a single child or is a leaf – delete it in \( O(1) \) time as in a regular deletion. If \( x \) has two children – find its successor using the field \texttt{Suc} in \( O(\log n) \) time, and proceed as in a regular deletion: swap and delete in the new location. Total time - \( O(\log n) \).
","Complexity analysis,   Binary search trees"
Multiple choice with explanations,8,"\begin{itemize}
    \item What is the data structure with the worst-case search time?
    \item A. A hash table with collision resolution by linked lists.
    \item B. Perfect Hash
    \item C. A max heap implemented by an array.
    \item D. A+B
    \item E. A+C
    \item F. A+B+C
\end{itemize}",E,"\begin{itemize}
    \item[5.] The search time in the worst case for a hash table and the heap is $O(\log n)$. For a perfect hash, the search time is $O(1)$ in the worst case.
\end{itemize}","Binary search trees,   Balanced BST (AVL,   B),   Hash tables"
Multiple Choice,7,"
Let \( f(n) = (n!)^{2006} \),
\( g(n) = (n^{2006})! \).
We wish to compare the \(\log\) of the two functions. Which of the following is correct?

A. \(\log(f(n)) = o(\log(g(n)))\)

B. \(\log(f(n)) = \omega(\log(g(n)))\)

C. \(\log(f(n)) = \Theta(\log(g(n)))\)

D. None of the above.
",1,na,Complexity analysis
Multiple Choice,7,"
Solve the following recurrence relation:
\begin{equation}
T(n) = 3 \cdot T(n - 2) + 9
\end{equation}
\( T(1) = T(2) = 1 \)

What is \( T(n) \)?

a. \( \theta(n^3) \)

b. \( \theta(n^2) \)

c. \( \theta(3^n) \)

d. \( \theta(n^{1.5}) \)

e. \( \theta((3^{0.5})^n) \)
",5,na,Complexity analysis
Multiple Choice,8,"\textit{Given an empty AVL tree. We perform \( n \) Insert operations on it. Which of the following is true?}

\begin{enumerate}
    \item The total running time will be \(\theta(n)\) and the number of rotations is necessarily \(O(n)\).
    \item The total running time will be \(\theta(n \log n)\) and the number of rotations is necessarily \(O(n)\).
    \item The total running time will be \(\theta(n)\) and the number of rotations can be \(\Omega(n \log n)\).
    \item The total running time will be \(\theta(n \log n)\) and the number of rotations can be \(\Omega(n \log n)\).
\end{enumerate}",2,na,"Complexity analysis,   Balanced BST (AVL,   B)"
Multiple Choice,8,"
Given an AVL search tree that supports Order Statistic operations, meaning each node also has the Size field. An LRD (postorder) traversal is performed on the tree, but instead of printing the keys, the Size fields are printed. Which of the following is correct?
A. The first number printed is the smallest.
B. The last number printed is the largest.
C. The numbers will be printed in monotonically increasing order.
D. A+B
E. A+B+C
",4,na,"Balanced BST (AVL,   B)"
Multiple Choice,8,"
We are interested in the QuickSort sorting algorithm when the pivot element is chosen to be the first in the segment of the array on which the algorithm operates (and not chosen randomly).
What is the smallest depth of a leaf in the decision tree of this algorithm on an array of size \( n \)?
a. \( \theta(n) \) \\
b. \( \theta(n \log(n)) \) \\
c. \( \theta(n^2) \) \\
d. \( \theta(n!) \) \\
e. \( \theta((n!) \log(n)) \) \\
f. The above algorithm does not fit the comparison model, so the question is meaningless.
",2,na,"I,   Lower bound for comparison based sorting"
Multiple Choice,8,"
The median, using the function NewSelect. The running time of NewSelect on an array of size \(n\) is \(\Theta(n^{2006/2005})\) W.C.. The running time of the new QuickSort algorithm will be:
a. \(\Theta(n)\) W.C.
b. \(\Theta(n \log(n))\) W.C.
c. \(\Theta(n^2)\) W.C.
d. \(\Theta(n^{2006/2005})\) W.C.
e. \(\Theta(n^{2006/2005} \log(n))\) W.C.
f. \(\Theta(n^{2 \times 2006/2005})\) W.C.
",4,na,"Complexity analysis,   Binomial heaps,   Fibonacci heaps"
Multiple Choice,8,"\begin{itemize}
    \item[] Given \( n \) elements. We want to build a data structure from them. Which of the following structures will have the longest W.C. build time?
    \begin{enumerate}
        \item A hash table where collisions are resolved using linked lists.
        \item Perfect hash.
        \item Max-heap.
        \item AVL search tree.
        \item A+C
        \item A+B+C
    \end{enumerate}
\end{itemize}",2,na,"Binary search trees,   Balanced BST (AVL,   B),   Hash tables"
Multiple choice with explanations,9,"
Given a red-black search tree where at each node \( v \) there is a field \texttt{Size} containing the number of nodes in the subtree rooted at \( v \) (including \( v \)). A post-order traversal (LRD) is performed on the tree, but instead of printing the keys, the \texttt{Size} fields are printed. 
(Reminder: A post-order traversal is a traversal where first a recursive post-order traversal is performed on the left subtree, then the right subtree, and finally the value at the node itself is printed.)

The question: Which of the following is true?
A. The first number printed is the smallest.
B. The last number printed is the largest.
C. The numbers are printed in monotonically increasing order.
D. The sum of the second-to-last number printed and the third-to-last number printed is one less than the last number printed.
E. A + B
F. A + B + C
",E,"
a. True because the first node doesn't have a son (i.e., it is a leaf), otherwise its son would have been traversed before it.

b. True because a parent is traversed after its children, thus the last node to be traversed must be an ""orphan"", that is, the root of the tree.

c. and d. are not true, for example, if we take a complete tree of height 2.
",OTHER
Multiple choice with explanations,9,"
We run the QuickSort algorithm. At each stage, the pivot element is chosen to be the median. However, the median is found by a new function called NewSelect, whose worst-case running time on an array of size \(n\) is \(O(n^{1.5})\). The worst-case running time of the QuickSort algorithm we defined will be:
\begin{enumerate}
    \item \(O(n)\)
    \item \(O(n \log(n))\)
    \item \(O(n^2)\)
    \item \(O(n^{1.5})\)
    \item \(O(n^{1.5} \log(n))\)
    \item \(O(n^3)\)
\end{enumerate}
",D,"
The total running time is \( T(n) = 2T(n/2) + n^{3/2} \), and according to the master method, for example, we get \(\mathcal{D}\).
","Complexity analysis,   Binomial heaps,   Fibonacci heaps"
